order_number,employee_id,employee_name,job_title,sales_region,order_date,order_type,customer_type,customer_name,customer_state,product_category,product_number,produce_name,quantity,unit_price,sale_price
1103461,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/04/2019,Retail,Individual,Gan Philipsson,Oklahoma,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1103475,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/04/2019,Retail,Individual,Gabriel Polini,Texas,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,30,90
1103537,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,06/05/2019,Retail,Individual,Far Pow,Mississippi,Gift Basket,GB101,Infused EVOO Gift Basket,3,75,225
1103597,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/05/2019,Wholesale,Business,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
1103614,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,16/05/2019,Retail,Individual,Sheena Steuhlmeyer,New Mexico,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,123,492
1103631,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/05/2019,Wholesale,Business,Daugherty Group,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,14,234,3276
1103811,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,17/06/2019,Wholesale,Business,Hilll Group,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,234,234
1103824,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,18/06/2019,Retail,Individual,Gabriel Polini,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,3,234,702
1103901,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/06/2019,Retail,Individual,Lincoln Bloxholm,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
1104026,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/07/2019,Retail,Individual,Mia Walkden,Texas,Bath products,BP300,Mandarin and Olive Body Soap,3,7.45,22.35
1104067,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,21/07/2019,Retail,Individual,Erik Grinley,Louisiana,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,19.5,39
1104066,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,21/07/2019,Retail,Individual,Alexis Cripps,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
1104083,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/07/2019,Wholesale,Business,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
1104122,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/07/2019,Retail,Individual,Viv Frankton,Louisiana,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,234,702
1104198,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,08/08/2019,Retail,Individual,Rourke Bernardt,Texas,Gift Basket,GB100,Organic EVOO Gift Basket,1,70,70
1104231,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/08/2019,Retail,Individual,Jewel Prandoni,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,3,234,702
1104317,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,26/08/2019,Retail,Individual,Lolita Dreschler,Arkansas,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27,27
1104404,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,07/09/2019,Retail,Individual,Georgianna Harrild,Texas,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,5.99,23.96
1104460,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,16/09/2019,Retail,Individual,Kellen Mochan,Texas,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,14.5,14.5
1104506,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,23/09/2019,Retail,Individual,Aridatha Revett,Texas,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,123,246
1104527,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,27/09/2019,Retail,Individual,Annaliese Sheeres,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,4,14.5,58
1104558,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/10/2019,Retail,Individual,Marijn Alden,Louisiana,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,3,35,105
1104555,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/10/2019,Retail,Individual,Mandi de Merida,Texas,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,45,90
1104652,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,15/10/2019,Wholesale,Business,Labadie Inc,Texas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,234,468
1104710,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,23/10/2019,Retail,Individual,Levon Bhatia,Oklahoma,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
1104730,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,26/10/2019,Retail,Individual,Charmine Eyers,Texas,Bath products,BP505,Vanilla and Olive Oil Lotion,4,9.99,39.96
1104858,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/11/2019,Retail,Individual,Marianna Folland,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,3,14.5,43.5
1104920,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/11/2019,Retail,Individual,Gan Philipsson,Oklahoma,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,1,234,234
1104955,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,27/11/2019,Retail,Individual,Aurore Rudinger,Texas,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,45,90
1105004,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,03/12/2019,Retail,Individual,Jethro Breagan,Louisiana,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,4,45,180
1105012,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,04/12/2019,Retail,Individual,Myrtia Scupham,Texas,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,114,342
1105005,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,04/12/2019,Retail,Individual,Georgianna Harrild,Texas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1105044,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/12/2019,Retail,Individual,Cilka Bonifant,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,2,45,90
1105047,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/12/2019,Retail,Individual,Ilise Wasiela,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,45,45
1105049,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/12/2019,Retail,Individual,Viv Frankton,Louisiana,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,3,14.5,43.5
1105097,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,18/12/2019,Retail,Individual,Dean Wharin,Oklahoma,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
1105155,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/12/2019,Retail,Individual,Lucila Aylward,Texas,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,3,123,369
1105172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/12/2019,Retail,Individual,Lolita Dreschler,Arkansas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,45,45
1105185,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/01/2020,Retail,Individual,Abey Jacquemard,Texas,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
1105245,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,08/01/2020,Retail,Individual,Far Pow,Mississippi,Bath products,BP501,Vanilla and Olive Bath Salts,3,8.5,25.5
1105246,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,08/01/2020,Retail,Individual,Skippie Anthill,Texas,Bath products,BP105,Lavender and Olive Oil Lotion,4,9.99,39.96
1105247,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/01/2020,Retail,Individual,Calla Bonhan,Missouri,Bath products,BP302,Mandarin and Olive Candle,2,6.99,13.98
1105260,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/01/2020,Retail,Individual,Gan Philipsson,Oklahoma,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,4,234,936
1105303,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/01/2020,Retail,Individual,Pollyanna Stonehewer,Texas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,1,234,234
1105318,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,20/01/2020,Retail,Individual,Calla Bonhan,Missouri,Bath products,BP303,Mandarin and Olive Oil Bar Soap,4,5.99,23.96
1105359,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,26/01/2020,Retail,Individual,Gipsy MacLeod,Texas,Olive Oil,OO302,Chili Extra Virgin Olive Oil,3,26,78
1105403,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,02/02/2020,Retail,Individual,Jethro Breagan,Louisiana,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,1,45,45
1105491,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/02/2020,Retail,Individual,Viv Frankton,Louisiana,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,2,114,228
1105521,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/02/2020,Wholesale,Business,Swift Inc,Texas,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,234,702
1105541,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/02/2020,Wholesale,Business,Fadel Inc,Oklahoma,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,234,936
1105560,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,25/02/2020,Retail,Individual,Myrtia Scupham,Texas,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,2,114,228
1105593,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/02/2020,Retail,Individual,Damian Murcutt,Texas,Gift Basket,GB106,Basil EVOO Gift Basket,4,75,300
1105601,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,02/03/2020,Retail,Individual,Christiano Tuson,Louisiana,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,1,114,114
1105655,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/03/2020,Retail,Individual,Jewel Prandoni,Texas,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,2,123,246
1105682,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,13/03/2020,Retail,Individual,Devlin Nock,Texas,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,5.99,23.96
1105691,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/03/2020,Retail,Individual,Kellen Mochan,Texas,Gift Basket,GB300,Deluxe Bath Gift Basket,3,115,345
1105736,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,21/03/2020,Retail,Individual,Shaine McGrann,Texas,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,4,114,456
1105779,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,25/03/2020,Wholesale,Business,Swift Inc,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,4,234,936
1105853,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,05/04/2020,Retail,Individual,Zonnya Machon,Arkansas,Olive Oil,OO305,Extra Virgin Olive Oil - Trio 3pk,2,70,140
1105955,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/04/2020,Wholesale,Business,Gerhold Inc,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,1,234,234
1106021,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,04/05/2020,Retail,Individual,Blondie Maseres,Oklahoma,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,114,342
1106071,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/05/2020,Retail,Individual,Kristofer Kneath,Texas,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,1,24.5,24.5
1106091,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,13/05/2020,Retail,Individual,Tann Angear,Oklahoma,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,3,45,135
1106149,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,19/05/2020,Retail,Individual,Shaine McGrann,Texas,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,123,369
1106172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,23/05/2020,Retail,Individual,Granny Matevosian,Missouri,Bath products,BP501,Vanilla and Olive Bath Salts,4,8.5,34
1106215,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,30/05/2020,Wholesale,Business,Hilll Group,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,5,234,1170
1106262,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,05/06/2020,Retail,Individual,Pollyanna Stonehewer,Texas,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,4,123,492
1106398,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,25/06/2020,Retail,Individual,Lucila Aylward,Texas,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,4,14.5,58
1106402,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,26/06/2020,Retail,Individual,Mia Walkden,Texas,Olive Oil,OO304,Extra Virgin Olive Oil - Medium,4,24.5,98
1106567,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/07/2020,Retail,Individual,Zonnya Machon,Arkansas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,4,45,180
1106586,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,17/07/2020,Retail,Individual,Blondie Maseres,Oklahoma,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27,27
1106684,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/07/2020,Wholesale,Business,Fadel Inc,Oklahoma,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,2,234,468
1106703,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/08/2020,Wholesale,Business,Gerhold Inc,Texas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,234,936
1106712,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,02/08/2020,Retail,Individual,Lanni D'Ambrogi,Missouri,Bath products,BP105,Lavender and Olive Oil Lotion,1,9.99,9.99
1106741,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,06/08/2020,Retail,Individual,Richy Mateiko,Texas,Olive Oil,OO308,Basil Extra Virgin Olive Oil,4,26,104
1106753,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,08/08/2020,Retail,Individual,Christiano Tuson,Louisiana,Gift Basket,GB302,Scented Olive Oil Bath Soap Gift Basket,3,45,135
1106767,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/08/2020,Retail,Individual,Cally Roughley,Mississippi,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
1106778,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/08/2020,Wholesale,Business,Borer LLC,Texas,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,6,234,1404
1106896,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/08/2020,Retail,Individual,Cally Roughley,Mississippi,Gift Basket,GB106,Basil EVOO Gift Basket,3,75,225
1106905,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/08/2020,Retail,Individual,Gabriel Polini,Texas,Bath products,BP500,Vanilla and Olive Oil Body Soap,4,7.45,29.8
1106904,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,29/08/2020,Retail,Individual,Shaine McGrann,Texas,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27,27
1106956,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,05/09/2020,Retail,Individual,Damian Murcutt,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,45,45
1107033,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,17/09/2020,Retail,Individual,Richy Mateiko,Texas,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,3,114,342
1107082,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,23/09/2020,Retail,Individual,Cilka Bonifant,Texas,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,2,123,246
1107108,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/09/2020,Wholesale,Business,Daugherty Group,Texas,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,13,234,3042
1107126,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/10/2020,Retail,Individual,Rourke Bernardt,Texas,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,234,702
1107133,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,02/10/2020,Retail,Individual,Damian Murcutt,Texas,Bath products,BP301,Mandarin and Olive Bath Salts,3,8.5,25.5
1107150,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,04/10/2020,Retail,Individual,Erik Grinley,Louisiana,Bath products,BP305,Mandarin and Olive Oil Lotion,4,9.99,39.96
1107176,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/10/2020,Retail,Individual,Sheena Steuhlmeyer,New Mexico,Bath products,BP101,Lavender and Olive Bath Salts,3,8.5,25.5
1107183,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/10/2020,Wholesale,Business,Borer LLC,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,234,1872
1107224,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/10/2020,Wholesale,Business,Borer LLC,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,2,234,468
1107239,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,17/10/2020,Retail,Individual,Sheena Steuhlmeyer,New Mexico,Bath products,BP504,Vanilla and Olive Oil Bar Soap 3pk,3,14.5,43.5
1107294,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,24/10/2020,Wholesale,Business,Daugherty Group,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,234,1872
1107306,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,27/10/2020,Retail,Individual,Erik Grinley,Louisiana,Gift Basket,GB100,Organic EVOO Gift Basket,3,70,210
1107314,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,28/10/2020,Retail,Individual,Levon Bhatia,Oklahoma,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,45,135
1107392,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,09/11/2020,Retail,Individual,Georgianna Harrild,Texas,Bath products,BP305,Mandarin and Olive Oil Lotion,2,9.99,19.98
1107432,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/11/2020,Retail,Individual,Marianna Folland,Missouri,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,4,24.5,98
1107566,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,01/12/2020,Retail,Individual,Rourke Bernardt,Texas,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,3,24.5,73.5
1107575,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,03/12/2020,Wholesale,Business,Fadel Inc,Oklahoma,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,234,468
1107657,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/12/2020,Retail,Individual,Carmine Priestnall,Texas,Bath products,BP300,Mandarin and Olive Body Soap,3,7.45,22.35
1107678,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,17/12/2020,Wholesale,Business,Labadie Inc,Texas,Gift Basket,GB101,Infused EVOO Gift Basket,7,75,525
1107707,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,20/12/2020,Wholesale,Business,Swift Inc,Texas,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,2,234,468
1107720,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,23/12/2020,Retail,Individual,Ilise Wasiela,Texas,Bath products,BP302,Mandarin and Olive Candle,4,6.99,27.96
1107733,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,24/12/2020,Retail,Individual,Rourke Bernardt,Texas,Bath products,BP501,Vanilla and Olive Bath Salts,3,8.5,25.5
1107741,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,25/12/2020,Retail,Individual,Tann Angear,Oklahoma,Olive Oil,OO309,Garlic Extra Virgin Olive Oil,4,26,104
1107743,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,26/12/2020,Retail,Individual,Gipsy MacLeod,Texas,Olive Oil,OO308,Basil Extra Virgin Olive Oil,2,26,52
1107782,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,31/12/2020,Retail,Individual,Marijn Alden,Louisiana,Bath products,BP101,Lavender and Olive Bath Salts,1,8.5,8.5
1107872,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,14/01/2021,Retail,Individual,Charmine Eyers,Texas,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
1107934,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,22/01/2021,Wholesale,Business,Fadel Inc,Oklahoma,Bath products,BP102,Lavender and Olive Candle,4,6.99,27.96
1102878,900018213,Alisha Hendricks,Senior Sales Representative,Central East,01/02/2019,Retail,Individual,Merrel Drawmer,North Carolina,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,5.99,23.96
1102928,900018213,Alisha Hendricks,Senior Sales Representative,Central East,08/02/2019,Retail,Individual,Janaya Cozzi,Maryland,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,1,123,123
1102966,900018213,Alisha Hendricks,Senior Sales Representative,Central East,13/02/2019,Retail,Individual,Arie Blues,Kentucky,Olive Oil,OO302,Chili Extra Virgin Olive Oil,3,26,78
1102971,900018213,Alisha Hendricks,Senior Sales Representative,Central East,14/02/2019,Retail,Individual,Glynis Laguerre,North Carolina,Gift Basket,GB103,Lemon EVOO Gift Basket,4,75,300
1103073,900018213,Alisha Hendricks,Senior Sales Representative,Central East,02/03/2019,Retail,Individual,Marty Tokley,Maryland,Bath products,BP505,Vanilla and Olive Oil Lotion,3,9.99,29.97
1103076,900018213,Alisha Hendricks,Senior Sales Representative,Central East,03/03/2019,Retail,Individual,Annelise Genders,Maryland,Gift Basket,GB100,Organic EVOO Gift Basket,2,70,140
1103288,900018213,Alisha Hendricks,Senior Sales Representative,Central East,04/04/2019,Retail,Business,Fadel Group,District of Columbia,Bath products,BP503,Vanilla and Olive Oil Bar Soap,2,5.99,11.98
1103302,900018213,Alisha Hendricks,Senior Sales Representative,Central East,06/04/2019,Retail,Individual,Danell Willwood,North Carolina,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,3,114,342
1103303,900018213,Alisha Hendricks,Senior Sales Representative,Central East,06/04/2019,Retail,Individual,Kacie MacAvaddy,Tennessee,Olive Oil,OO301,Extra Virgin Olive Oil - Bold,2,24.5,49
1103393,900018213,Alisha Hendricks,Senior Sales Representative,Central East,18/04/2019,Retail,Individual,Aime Burhouse,North Carolina,Olive Oil,OO121,Extra Virgin Olive Oil - Medium 12 pk,3,19.5,58.5
1103450,900018213,Alisha Hendricks,Senior Sales Representative,Central East,26/04/2019,Retail,Individual,Jessika Patriche,District of Columbia,Bath products,BP501,Vanilla and Olive Bath Salts,4,8.5,34
1103529,900018213,Alisha Hendricks,Senior Sales Representative,Central East,05/05/2019,Retail,Individual,Catlee Royle,Virginia,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,4,234,936
1103669,900018213,Alisha Hendricks,Senior Sales Representative,Central East,25/05/2019,Wholesale,Business,Gerhold Group,Virginia,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,9,234,2106
1103768,900018213,Alisha Hendricks,Senior Sales Representative,Central East,10/06/2019,Retail,Individual,Christyna Ciobutaru,North Carolina,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,4,45,180
1103791,900018213,Alisha Hendricks,Senior Sales Representative,Central East,14/06/2019,Retail,Individual,Hasty Fontell,Virginia,Bath products,BP500,Vanilla and Olive Oil Body Soap,1,7.45,7.45
