,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
rxp56459,ricardo.price@univ.edu,3,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100,12,14,12,8,10,0.68,0.92,0.75,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8162162162162162,0.8359358288770053,0.8359358288770053,0.8182299550123079,82.0,B
txr84689,timothy.ramirez@univ.edu,3,Timothy,Ramirez,72.0,80,73,80,65,80,73,100,49,70,79,90,49,50,57,70,54,60,51,60,84,100,69,100,87,100,4,6,8,13,4,0.84,0.69,0.87,0.8405405405405405,0.8477063492063491,0.8477063492063491,0.8405405405405405,0.48471606824547997,0.8405405405405405,0.8327447018447018,84.0,B
tbr17292,troy.raymond@univ.edu,3,Troy,Raymond,50.0,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,91,100,67,100,100,100,5,7,7,14,7,0.91,0.67,1.0,0.8418918918918918,0.8403650793650794,0.8418918918918918,0.8418918918918918,0.5686452762923351,0.8418918918918918,0.8518243243243243,86.0,B
lcr30757,laura.reid@univ.edu,3,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100,12,8,13,10,4,0.64,0.86,0.86,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.7027027027027027,0.6779933791698498,0.7027027027027027,0.7414012870012869,75.0,C
cxr98775,carol.reyes@univ.edu,3,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100,6,14,15,8,5,0.99,0.91,0.9,0.8189189189189189,0.8224880952380953,0.8224880952380953,0.8189189189189189,0.6850267379679145,0.8189189189189189,0.8501709137709138,86.0,B
jxr10806,jason.reyes@univ.edu,3,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100,4,6,13,13,9,0.7,0.81,0.86,0.8,0.802468253968254,0.802468253968254,0.8,0.6422918258212376,0.8,0.8059873015873016,81.0,B
kpr82051,kimberly.rhodes@univ.edu,3,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100,6,12,13,16,9,0.61,0.62,0.97,0.7635135135135135,0.7557103174603175,0.7635135135135135,0.7635135135135135,0.7966335625159154,0.7966335625159154,0.78239547416018,79.0,C
jsr21334,john.rodriguez@univ.edu,3,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100,7,11,12,12,6,0.92,0.68,0.89,0.7891891891891892,0.7965515873015873,0.7965515873015873,0.7891891891891892,0.6840769034886682,0.7891891891891892,0.8028773916773917,81.0,B
sxs30610,stephanie.sampson@univ.edu,3,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100,4,12,10,6,10,0.87,1.0,0.75,0.8324324324324325,0.833047619047619,0.833047619047619,0.8324324324324325,0.6238349885408709,0.8324324324324325,0.8389487773487774,84.0,B
fxs77894,felicia.simpson@univ.edu,3,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100,12,9,7,13,11,0.63,0.9,0.99,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.8351351351351352,0.7748459383753501,0.8351351351351352,0.8545945945945946,86.0,B
cjs43553,crystal.smith@univ.edu,3,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100,5,14,14,8,6,0.85,0.88,0.6,0.8486486486486486,0.8551666666666667,0.8551666666666667,0.8486486486486486,0.6732085561497325,0.8486486486486486,0.8171612612612613,82.0,B
ajt73762,amy.terry@univ.edu,3,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100,7,5,12,9,4,0.6,0.81,0.79,0.8337837837837838,0.8190912698412699,0.8337837837837838,0.8337837837837838,0.5267048637636873,0.8337837837837838,0.8131486486486487,82.0,B
bxt62105,brandon.thomas@univ.edu,3,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100,4,8,10,13,7,0.86,0.72,0.65,0.7635135135135135,0.7541507936507937,0.7635135135135135,0.7635135135135135,0.5944996180290297,0.7635135135135135,0.7469594594594594,75.0,C
hxw92728,heather.webb@univ.edu,3,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100,4,9,11,16,5,1.0,0.61,0.62,0.7013513513513514,0.6997619047619048,0.7013513513513514,0.7013513513513514,0.6210491469314998,0.7013513513513514,0.6949459459459459,70.0,C
alw07647,amy.white@univ.edu,3,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100,4,11,14,15,7,0.99,0.95,0.99,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.8378378378378378,0.7142195059842119,0.8378378378378378,0.8794864864864865,88.0,B
lkw48972,levi.wilkerson@univ.edu,3,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100,12,14,13,8,11,0.71,0.96,0.93,0.7256756756756757,0.7192896825396825,0.7256756756756757,0.7256756756756757,0.867450980392157,0.867450980392157,0.8215055643879173,83.0,B
