ID,Name,NetID,Email Address,Section
4776805,"Rice, Theresa Angie",TAR62684,THERESA.RICE@UNIV.EDU,2
2434405,"Taylor, Gail",GXT58459,GAIL.TAYLOR@UNIV.EDU,2
4794376,"Prince, Patricia Terry",PTP24084,PATRICIA.PRINCE@UNIV.EDU,1
6881060,"Wilson, James",JXW45134,JAMES.WILSON@UNIV.EDU,1
4314448,"Perez, Robin",RXP93368,ROBIN.PEREZ@UNIV.EDU,1
2431463,"Smith, Joseph Rebecca",JRS82128,JOSEPH.SMITH@UNIV.EDU,2
3720273,"Vazquez, Andrew",AXV14239,ANDREW.VAZQUEZ@UNIV.EDU,2
1631167,"Duffy, Andrea",AXD31924,ANDREA.DUFFY@UNIV.EDU,3
3631310,"King, Carlos",CXK05411,CARLOS.KING@UNIV.EDU,3
7223908,"Fernandez, Kimberly",KXF30498,KIMBERLY.FERNANDEZ@UNIV.EDU,2
9429261,"Anthony, Timothy Matthew",TMA06777,TIMOTHY.ANTHONY@UNIV.EDU,3
2517849,"Carr, Ivan Cody",ICC58498,IVAN.CARR@UNIV.EDU,3
7309404,"Woods, Ashley",AXW32325,ASHLEY.WOODS@UNIV.EDU,1
8823644,"Lewis, Kyle",KXL34543,KYLE.LEWIS@UNIV.EDU,1
5649796,"Patel, Robin Shane",RSP61346,ROBIN.PATEL@UNIV.EDU,2
6945088,"Marquez, Kenneth",KXM28514,KENNETH.MARQUEZ@UNIV.EDU,3
5485756,"Patel, Barbara",BXP31334,BARBARA.PATEL@UNIV.EDU,1
9406077,"Ryan, Kimberly",KXR62052,KIMBERLY.RYAN@UNIV.EDU,3
5096144,"Fox, David Jose",DJF42362,DAVID.FOX@UNIV.EDU,2
7523162,"Cruz, Sara James",SJC46382,SARA.CRUZ@UNIV.EDU,2
2748415,"Gonzalez, Deanna",DXG45770,DEANNA.GONZALEZ@UNIV.EDU,1
5654658,"Wright, Caitlin",CXW77303,CAITLIN.WRIGHT@UNIV.EDU,1
4624220,"Jones, Crystal",CXJ32108,CRYSTAL.JONES@UNIV.EDU,3
3351148,"Cox, Julie",JXC08728,JULIE.COX@UNIV.EDU,1
1675353,"Rodgers, Michael Amy",MAR07168,MICHAEL.RODGERS@UNIV.EDU,1
9624293,"Miller, Matthew",MXM40487,MATTHEW.MILLER@UNIV.EDU,2
5746805,"Barker, Dustin Charles",DCB52984,DUSTIN.BARKER@UNIV.EDU,2
6258843,"Guzman, Christopher Tim",CTG19739,CHRISTOPHER.GUZMAN@UNIV.EDU,3
5097494,"Johnson, Jessica Jacob",JJJ08953,JESSICA.JOHNSON@UNIV.EDU,3
6655980,"Lowery, Robert",RXL50556,ROBERT.LOWERY@UNIV.EDU,2
5766058,"Mccullough, Timothy Susan",TSM33008,TIMOTHY.MCCULLOUGH@UNIV.EDU,2
