Last Name,First Name,Email,Grade
Leon,Tammy,tammy.leon@univ.edu,6
Rodriguez,Alexander,alexander.rodriguez@univ.edu,11
King,Paige,paige.king@univ.edu,14
Dudley,Emily,emily.dudley@univ.edu,9
Johnston,Robert,robert.johnston@univ.edu,10
Carter,Lorraine,lorraine.carter@univ.edu,12
Jones,Daniel,daniel.jones@univ.edu,7
Johnson,Dylan,dylan.johnson@univ.edu,5
Hernandez,Taylor,taylor.hernandez@univ.edu,5
Rice,Rhonda,rhonda.rice@univ.edu,6
Scott,Michelle,michelle.scott@univ.edu,14
Johnson,Stacy,stacy.johnson@univ.edu,7
Hunt,Brett,brett.hunt@univ.edu,7
Beck,David,david.beck@univ.edu,12
Walls,Joyce,joyce.walls@univ.edu,7
Elliott,Richard,richard.elliott@univ.edu,11
Ramirez,Timothy,timothy.ramirez@univ.edu,6
Wolf,Courtney,courtney.wolf@univ.edu,7
Schwartz,Billy,billy.schwartz@univ.edu,10
Ortega,Tiffany,tiffany.ortega@univ.edu,14
Brock,Lauren,lauren.brock@univ.edu,12
Hart,Colleen,colleen.hart@univ.edu,9
Friedman,Linda,linda.friedman@univ.edu,5
Gonzalez,Matthew,matthew.gonzalez@univ.edu,11
Dennis,Rachel,rachel.dennis@univ.edu,6
Allen,Christina,christina.allen@univ.edu,14
Flores,Brandon,brandon.flores@univ.edu,13
Foster,Ashlee,ashlee.foster@univ.edu,14
Reyes,Bailey,bailey.reyes@univ.edu,6
Cervantes,Scott,scott.cervantes@univ.edu,12
Reyes,Carol,carol.reyes@univ.edu,14
Lester,Aaron,aaron.lester@univ.edu,8
James,Margaret,margaret.james@univ.edu,7
Pena,Jonathan,jonathan.pena@univ.edu,10
Young,Joseph,joseph.young@univ.edu,11
Nguyen,Donna,donna.nguyen@univ.edu,9
Guzman,Cynthia,cynthia.guzman@univ.edu,10
Terry,Amy,amy.terry@univ.edu,5
Daniels,Amber,amber.daniels@univ.edu,5
Greer,April,april.greer@univ.edu,13
Payne,Douglas,douglas.payne@univ.edu,12
Myers,Brian,brian.myers@univ.edu,8
Miranda,Brett,brett.miranda@univ.edu,11
Miller,Stephen,stephen.miller@univ.edu,13
Johnson,Paul,paul.johnson@univ.edu,11
Wilkerson,Levi,levi.wilkerson@univ.edu,14
Bates,Nathan,nathan.bates@univ.edu,11
Parker,Timothy,timothy.parker@univ.edu,14
Davidson,Luke,luke.davidson@univ.edu,8
Flower,John,john.g.2.flower@univ.edu,13
Brown,Kelsey,kelsey.brown@univ.edu,14
Stevens,Marcia,marcia.stevens@univ.edu,10
Odom,John,john.odom@univ.edu,9
Terry,Thomas,thomas.terry@univ.edu,8
Anderson,Lauren,lauren.anderson@univ.edu,11
Martin,Ashley,ashley.martin@univ.edu,13
Mccall,Kimberly,kimberly.mccall@univ.edu,12
Miller,Anthony,anthony.miller@univ.edu,7
Miller,Jorge,jorge.miller@univ.edu,14
Lee,Danielle,danielle.lee@univ.edu,5
Mann,Nicole,nicole.mann@univ.edu,11
Walsh,Jill,jill.walsh@univ.edu,9
Reid,Laura,laura.reid@univ.edu,8
Reilly,Brandy,brandy.reilly@univ.edu,14
Lopez,Mark,mark.lopez@univ.edu,7
Reyes,Jason,jason.reyes@univ.edu,6
Bailey,Belinda,belinda.bailey@univ.edu,14
Roberts,Steven,steven.roberts@univ.edu,9
Barrera,Woody,woody.barrera_jr@univ.edu,7
Taylor,Michael,michael.taylor@univ.edu,12
Clark,Jill,jill.clark@univ.edu,11
Smith,Kerry,kerry.smith@univ.edu,5
Smith,Andrea,andrea.smith@univ.edu,12
Faulkner,Katelyn,katelyn.faulkner@univ.edu,14
Edwards,Nicole,nicole.edwards@univ.edu,12
Edwards,Timothy,timothy.edwards@univ.edu,5
Curry,Alec,alec.curry@univ.edu,12
Thomas,Sandra,sandra.thomas@univ.edu,8
Garza,Jessica,jessica.garza@univ.edu,11
Rhodes,Kimberly,kimberly.rhodes@univ.edu,12
Webb,Heather,heather.webb@univ.edu,9
Dunlap,Angela,angela.dunlap@univ.edu,11
Woodard,John,john.woodard@univ.edu,13
Johnson,Jamie,jamie.johnson@univ.edu,9
Patrick,Mark,mark.patrick@univ.edu,8
Evans,Patricia,patricia.evans@univ.edu,12
Smith,Matthew,matthew.smith@univ.edu,7
