Last Name,First Name,Email,Grade
Woods,Candice,candice.woods@univ.edu,10
Cook,Franklin,franklin.cook@univ.edu,10
Richardson,Kimberly,kimberly.richardson@univ.edu,9
Lee,Jennifer,jennifer.lee@univ.edu,7
Hoffman,Patrick,patrick.hoffman@univ.edu,12
Vazquez,Ashley,ashley.vazquez@univ.edu,5
Reyes,Jennifer,jennifer.reyes@univ.edu,12
Brown,Ryan,ryan.brown@univ.edu,5
Brown,Isabella,isabella.brown@univ.edu,9
Ramos,Kelsey,kelsey.ramos@univ.edu,12
Shaffer,Samantha,samantha.shaffer@univ.edu,7
Harris,Johnathan,johnathan.harris@univ.edu,9
Allen,Joshua,joshua.allen@univ.edu,8
Murray,Nicole,nicole.murray@univ.edu,4
Mayer,Stacey,stacey.mayer@univ.edu,11
Cruz,Sara,sara.cruz@univ.edu,12
Shaffer,Alicia,alicia.shaffer@univ.edu,8
Cohen,Lawrence,lawrence.cohen@univ.edu,9
Spencer,Laura,laura.spencer@univ.edu,6
Terry,Sharon,sharon.terry@univ.edu,10
Patterson,Kyle,kyle.patterson@univ.edu,5
Garcia,Erica,erica.garcia@univ.edu,11
Smith,Candice,candice.smith@univ.edu,7
Smith,Daniel,daniel.smith@univ.edu,6
Butler,Aaron,aaron.butler@univ.edu,5
Garcia,Donald,donald.garcia@univ.edu,4
Howard,Carrie,carrie.howard@univ.edu,6
Sellers,Samuel,samuel.sellers@univ.edu,8
Griffin,Maria,maria.griffin@univ.edu,5
Fernandez,Sarah,sarah.fernandez@univ.edu,9
Smith,Ricky,ricky.smith@univ.edu,9
Martin,Robert,robert.martin@univ.edu,8
Gonzalez,Colton,colton.gonzalez@univ.edu,12
Mercado,Michael,michael.mercado@univ.edu,7
Griffith,Jonathan,jonathan.griffith@univ.edu,12
Sanchez,James,james.sanchez@univ.edu,6
Ray,Andrew,andrew.ray@univ.edu,10
Carpenter,Robert,robert.carpenter@univ.edu,10
Rhodes,Desiree,desiree.rhodes@univ.edu,9
Blair,Robert,robert.blair@univ.edu,4
Ford,Jeremy,jeremy.ford@univ.edu,12
Anderson,Patrick,patrick.anderson@univ.edu,5
Rogers,Yolanda,yolanda.rogers@univ.edu,9
Stewart,Christopher,christopher.stewart@univ.edu,12
Hoover,Micheal,micheal.hoover@univ.edu,8
Reynolds,Veronica,veronica.reynolds@univ.edu,9
Alvarez,Amy,amy.alvarez@univ.edu,10
Lane,Tanya,tanya.lane@univ.edu,10
Perry,Katherine,katherine.perry@univ.edu,4
Hicks,Barbara,barbara.hicks@univ.edu,4
Marshall,Kenneth,kenneth.marshall@univ.edu,7
Espinoza,Michelle,michelle.espinoza@univ.edu,12
Stevens,Tonya,tonya.stevens@univ.edu,12
Mayer,Craig,craig.mayer@univ.edu,7
Acosta,Marie,marie.acosta@univ.edu,4
Johnson,William,william.johnson@univ.edu,12
Lambert,Malaika,malaika.lambert@univ.edu,6
Madden,Christie,christie.madden@univ.edu,8
Brown,Alexandra,alexandra.brown@univ.edu,6
Davis,Elizabeth,elizabeth.davis@univ.edu,8
Rodriguez,Robert,robert.rodriguez@univ.edu,6
Davila,Ralph,ralph.davila@univ.edu,5
Clark,Justin,justin.clark@univ.edu,6
Long,Vanessa,vanessa.long@univ.edu,11
Lynch,Pamela,pamela.lynch@univ.edu,12
Anderson,Rachel,rachel.anderson@univ.edu,5
Dominguez,Kyle,kyle.dominguez@univ.edu,11
Martinez,Joshua,joshua.martinez@univ.edu,12
Watson,Nicole,nicole.watson@univ.edu,9
