,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 2,Quiz 4,Quiz 1,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Overall Homework,Homework Score,Total Quizzes,Overall Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
dac97943,dale.collins@univ.edu,2,Dale,Collins,58,80,74,90,88,100,66,70,71,80,70,100,56,60,62,90,58,80,61,70,87,100,61,100,70,100,6,5,18,7,4,0.87,0.61,0.7,0.8097560975609757,0.8176230158730158,0.8176230158730158,0.8097560975609757,0.489921863482235,0.8097560975609757,0.779476035617499,78.0,C
sjc46382,sara.cruz@univ.edu,2,Sara,Cruz,71,80,71,90,74,100,47,70,79,80,84,100,54,60,83,90,53,80,46,70,93,100,68,100,90,100,12,6,8,14,4,0.93,0.68,0.9,0.8073170731707318,0.8057182539682539,0.8073170731707318,0.8073170731707318,0.561297361049683,0.8073170731707318,0.8146219512195123,82.0,B
kxf30498,kimberly.fernandez@univ.edu,2,Kimberly,Fernandez,48,80,83,90,61,100,48,70,66,80,73,100,48,60,82,90,50,80,67,70,99,100,66,100,70,100,7,8,16,16,11,0.99,0.66,0.7,0.7634146341463415,0.7666190476190475,0.7666190476190475,0.7634146341463415,0.7476087277016069,0.7634146341463415,0.7561720092915215,76.0,C
lwf83017,logan.fisher@univ.edu,2,Logan,Fisher,75,80,56,90,76,100,50,70,66,80,99,100,58,60,58,90,68,80,48,70,63,100,83,100,93,100,14,6,19,17,5,0.63,0.83,0.93,0.7975609756097561,0.7995833333333333,0.7995833333333333,0.7975609756097561,0.7557142857142857,0.7975609756097561,0.8131016260162602,82.0,B
djf42362,david.fox@univ.edu,2,David,Fox,70,80,85,90,75,100,65,70,60,80,95,100,44,60,69,90,65,80,63,70,86,100,64,100,73,100,11,12,17,14,4,0.86,0.64,0.73,0.8426829268292683,0.8410515873015874,0.8426829268292683,0.8426829268292683,0.7284151555358986,0.8426829268292683,0.8063780487804879,81.0,B
dsg23096,dana.glover@univ.edu,2,Dana,Glover,60,80,61,90,65,100,61,70,71,80,97,100,53,60,68,90,72,80,55,70,69,100,62,100,82,100,8,9,7,6,10,0.69,0.62,0.82,0.8085365853658537,0.8131309523809526,0.8131309523809526,0.8085365853658537,0.5461772077251953,0.8085365853658537,0.7873133565621371,79.0,C
odh20673,oscar.harper@univ.edu,2,Oscar,Harper,54,80,64,90,71,100,44,70,50,80,75,100,37,60,67,90,80,80,60,70,77,100,84,100,80,100,13,7,14,16,6,0.77,0.84,0.8,0.7341463414634146,0.7317936507936508,0.7341463414634146,0.7341463414634146,0.7089370485036119,0.7341463414634146,0.7564024390243902,76.0,C
smh42958,seth.holder@univ.edu,2,Seth,Holder,71,80,55,90,98,100,53,70,53,80,64,100,59,60,76,90,79,80,55,70,83,100,62,100,72,100,9,6,16,15,10,0.83,0.62,0.72,0.8085365853658537,0.8139246031746031,0.8139246031746031,0.8085365853658537,0.7172725932478254,0.8085365853658537,0.7796308168795973,78.0,C
sjh25091,stephen.hunt@univ.edu,2,Stephen,Hunt,77,80,82,90,74,100,49,70,76,80,93,100,58,60,54,90,54,80,70,70,73,100,86,100,93,100,11,14,7,14,6,0.73,0.86,0.93,0.8378048780487805,0.8435277777777778,0.8435277777777778,0.8378048780487805,0.6850567595459236,0.8378048780487805,0.8507525745257453,86.0,B
dxj35707,donald.jimenez@univ.edu,2,Donald,Jimenez,50,80,66,90,80,100,70,70,79,80,71,100,51,60,89,90,79,80,63,70,66,100,72,100,87,100,6,6,7,14,6,0.66,0.72,0.87,0.8512195121951219,0.8582222222222222,0.8582222222222222,0.8512195121951219,0.5041043785935426,0.8512195121951219,0.8341547425474255,84.0,B
mjj08941,morgan.johnson@univ.edu,2,Morgan,Johnson,55,80,58,90,62,100,42,70,57,80,83,100,48,60,59,90,74,80,51,70,63,100,93,100,82,100,10,13,12,9,11,0.63,0.93,0.82,0.7182926829268292,0.7203571428571429,0.7203571428571429,0.7182926829268292,0.734579094795813,0.734579094795813,0.756016585581601,76.0,C
jxj47860,joanne.jones@univ.edu,2,Joanne,Jones,51,80,66,90,64,100,48,70,71,80,78,100,45,60,54,90,75,80,48,70,76,100,65,100,82,100,7,7,9,8,11,0.76,0.65,0.82,0.7317073170731707,0.7337261904761905,0.7337261904761905,0.7317073170731707,0.5655211558307534,0.7317073170731707,0.7390026713124274,74.0,C
exk57025,elijah.kelley@univ.edu,2,Elijah,Kelley,49,80,59,90,90,100,68,70,68,80,75,100,52,60,85,90,48,80,63,70,86,100,100,100,87,100,8,10,19,6,5,0.86,1.0,0.87,0.801219512195122,0.805059523809524,0.805059523809524,0.801219512195122,0.6034453781512605,0.801219512195122,0.8358896631823461,84.0,B
mxl12345,malaika.lambert@univ.edu,2,Malaika,Lambert,78,80,65,90,60,100,50,70,57,80,85,100,50,60,55,90,72,80,68,70,70,100,88,100,78,100,15,9,18,17,9,0.7,0.88,0.78,0.7804878048780488,0.7889880952380952,0.7889880952380952,0.7804878048780488,0.8680451127819548,0.8680451127819548,0.8160087719298246,82.0,B
cxl39661,connie.lindsey@univ.edu,2,Connie,Lindsey,75,80,76,90,82,100,59,70,54,80,63,100,60,60,62,90,80,80,55,70,68,100,80,100,76,100,9,9,14,16,7,0.68,0.8,0.76,0.8121951219512196,0.8224404761904763,0.8224404761904763,0.8121951219512196,0.700841810408374,0.8121951219512196,0.8006347270615564,81.0,B
rxl50556,robert.lowery@univ.edu,2,Robert,Lowery,70,80,85,90,75,100,49,70,55,80,90,100,46,60,61,90,80,80,61,70,86,100,78,100,78,100,12,10,13,9,7,0.86,0.78,0.78,0.8195121951219512,0.8172817460317461,0.8195121951219512,0.8195121951219512,0.6622482677281439,0.8195121951219512,0.8116585365853659,82.0,B
cdm65295,corey.marsh@univ.edu,2,Corey,Marsh,79,80,74,90,61,100,54,70,73,80,80,100,55,60,59,90,75,80,60,70,78,100,100,100,96,100,13,14,8,7,4,0.78,1.0,0.96,0.8170731707317073,0.8270515873015872,0.8270515873015872,0.8170731707317073,0.60656346749226,0.8170731707317073,0.8589425861401472,86.0,B
dkm02469,david.mata@univ.edu,2,David,Mata,52,80,79,90,65,100,62,70,62,80,100,100,51,60,77,90,73,80,42,70,73,100,95,100,65,100,12,8,17,15,12,0.73,0.95,0.65,0.8085365853658537,0.8056547619047618,0.8085365853658537,0.8085365853658537,0.8297036709420611,0.8297036709420611,0.8013257354289598,81.0,B
gxm22704,glen.mayo@univ.edu,2,Glen,Mayo,75,80,58,90,92,100,54,70,61,80,86,100,51,60,84,90,66,80,58,70,88,100,92,100,62,100,6,7,15,10,12,0.88,0.92,0.62,0.8353658536585366,0.8332777777777778,0.8353658536585366,0.8353658536585366,0.6555417956656346,0.8353658536585366,0.8137560975609757,82.0,B
tsm33008,timothy.mccullough@univ.edu,2,Timothy,Mccullough,67,80,55,90,63,100,67,70,76,80,93,100,42,60,75,90,77,80,59,70,91,100,78,100,75,100,14,6,8,14,11,0.91,0.78,0.75,0.8219512195121951,0.8254444444444445,0.8254444444444445,0.8219512195121951,0.7046306943830164,0.8219512195121951,0.8127631436314364,82.0,B
mxm40487,matthew.miller@univ.edu,2,Matthew,Miller,74,80,70,90,95,100,50,70,49,80,73,100,41,60,68,90,74,80,59,70,89,100,96,100,71,100,15,8,17,13,4,0.89,0.96,0.71,0.7963414634146342,0.7916309523809524,0.7963414634146342,0.7963414634146342,0.7128409258440218,0.7963414634146342,0.804439024390244,81.0,B
dlm01981,david.mills@univ.edu,2,David,Mills,63,80,61,90,68,100,44,70,62,80,65,100,55,60,88,90,66,80,59,70,93,100,67,100,79,100,14,13,10,17,5,0.93,0.67,0.79,0.7695121951219512,0.7761150793650794,0.7761150793650794,0.7695121951219512,0.7609774436090225,0.7695121951219512,0.7732996902826171,78.0,C
mxm41463,michele.montgomery@univ.edu,2,Michele,Montgomery,67,80,83,90,61,100,59,70,66,80,89,100,52,60,90,90,70,80,63,70,90,100,67,100,66,100,14,12,14,6,8,0.9,0.67,0.66,0.8536585365853658,0.8569246031746032,0.8569246031746032,0.8536585365853658,0.7093852277753208,0.8536585365853658,0.8098674022454511,81.0,B
lxm81451,lindsey.moody@univ.edu,2,Lindsey,Moody,79,80,81,90,84,100,59,70,52,80,84,100,39,60,81,90,51,80,49,70,81,100,70,100,75,100,12,10,18,16,7,0.81,0.7,0.75,0.8036585365853659,0.7947857142857144,0.8036585365853659,0.8036585365853659,0.7972327878519829,0.8036585365853659,0.7855609756097561,79.0,C
jxo56485,jacob.owen@univ.edu,2,Jacob,Owen,56,80,64,90,75,100,65,70,73,80,96,100,45,60,59,90,54,80,52,70,66,100,80,100,89,100,15,9,12,8,8,0.66,0.8,0.89,0.7792682926829269,0.7785595238095238,0.7792682926829269,0.7792682926829269,0.6823381984372696,0.7792682926829269,0.7919878048780489,80.0,B
rsp61346,robin.patel@univ.edu,2,Robin,Patel,67,80,65,90,99,100,67,70,53,80,93,100,50,60,71,90,52,80,59,70,84,100,94,100,78,100,13,11,11,17,4,0.84,0.94,0.78,0.824390243902439,0.8214444444444444,0.824390243902439,0.824390243902439,0.7129323308270676,0.824390243902439,0.8300731707317073,84.0,B
tar62684,theresa.rice@univ.edu,2,Theresa,Rice,68,80,62,90,61,100,65,70,80,80,90,100,45,60,78,90,48,80,70,70,86,100,65,100,64,100,14,10,10,10,5,0.86,0.65,0.64,0.8134146341463414,0.8194126984126984,0.8194126984126984,0.8134146341463414,0.6357673595754092,0.8134146341463414,0.7757894696089818,78.0,C
mmr50420,michael.robinson@univ.edu,2,Michael,Robinson,51,80,58,90,89,100,69,70,55,80,97,100,49,60,59,90,53,80,45,70,86,100,62,100,64,100,9,10,12,11,12,0.86,0.62,0.64,0.7621951219512195,0.7592738095238095,0.7621951219512195,0.7621951219512195,0.7185846970367094,0.7621951219512195,0.7345365853658536,74.0,C
axr08019,amanda.romero@univ.edu,2,Amanda,Romero,59,80,83,90,62,100,63,70,49,80,67,100,54,60,68,90,64,80,51,70,69,100,89,100,80,100,7,8,18,14,11,0.69,0.89,0.8,0.7560975609756098,0.7646349206349207,0.7646349206349207,0.7560975609756098,0.7451319475158484,0.7560975609756098,0.7761832365466512,78.0,C
jrs82128,joseph.smith@univ.edu,2,Joseph,Smith,79,80,57,90,79,100,47,70,77,80,60,100,51,60,88,90,52,80,64,70,86,100,90,100,92,100,8,10,11,11,10,0.86,0.9,0.92,0.7975609756097561,0.8036825396825396,0.8036825396825396,0.7975609756097561,0.6613917145805691,0.7975609756097561,0.8317413085559426,84.0,B
lbs84451,lindsay.smith@univ.edu,2,Lindsay,Smith,52,80,61,90,71,100,60,70,53,80,70,100,44,60,59,90,70,80,64,70,98,100,67,100,96,100,9,11,16,9,5,0.98,0.67,0.96,0.7365853658536585,0.7435595238095238,0.7435595238095238,0.7365853658536585,0.634779596048946,0.7365853658536585,0.7783994192799071,78.0,C
jgs53909,joan.stanton@univ.edu,2,Joan,Stanton,48,80,87,90,81,100,61,70,73,80,70,100,51,60,65,90,75,80,50,70,65,100,65,100,93,100,14,6,11,7,9,0.65,0.65,0.93,0.8060975609756098,0.8084603174603174,0.8084603174603174,0.8060975609756098,0.6205233672416336,0.8060975609756098,0.8022133952768099,81.0,B
gxt58459,gail.taylor@univ.edu,2,Gail,Taylor,54,80,77,90,65,100,61,70,69,80,67,100,53,60,59,90,49,80,59,70,75,100,90,100,65,100,8,5,15,6,9,0.75,0.9,0.65,0.7475609756097561,0.7578730158730158,0.7578730158730158,0.7475609756097561,0.556578210231461,0.7475609756097561,0.7524174990321332,76.0,C
axv14239,andrew.vazquez@univ.edu,2,Andrew,Vazquez,80,80,62,90,95,100,58,70,67,80,73,100,60,60,89,90,74,80,57,70,91,100,64,100,85,100,15,10,19,15,6,0.91,0.64,0.85,0.8719512195121951,0.8763134920634921,0.8763134920634921,0.8719512195121951,0.819327731092437,0.8719512195121951,0.8491107626790554,85.0,B
cdw96437,cynthia.white@univ.edu,2,Cynthia,White,63,80,68,90,98,100,48,70,65,80,71,100,60,60,75,90,56,80,68,70,89,100,100,100,90,100,15,10,7,8,6,0.89,1.0,0.9,0.8195121951219512,0.8236031746031746,0.8236031746031746,0.8195121951219512,0.6106590004422822,0.8195121951219512,0.8547949283778552,86.0,B
