Last Name,First Name,Email,Grade
Gonzalez,Matthew,matthew.gonzalez@univ.edu,6
Raymond,Troy,troy.raymond@univ.edu,7
Perez,Jeffrey,jeffrey.perez@univ.edu,7
Woodard,John,john.woodard@univ.edu,14
Terry,Amy,amy.terry@univ.edu,12
Dudley,Emily,emily.dudley@univ.edu,9
Clark,Jill,jill.clark@univ.edu,6
Rice,Rhonda,rhonda.rice@univ.edu,9
Walsh,Jill,jill.walsh@univ.edu,13
Wilkerson,Levi,levi.wilkerson@univ.edu,13
Petersen,Kristin,kristin.petersen@univ.edu,8
Allen,Christina,christina.allen@univ.edu,12
Foster,Ashlee,ashlee.foster@univ.edu,12
Williams,Kimberly,kimberly.williams@univ.edu,6
Weber,Samuel,samuel.weber@univ.edu,12
Sampson,Stephanie,stephanie.sampson@univ.edu,10
Sparks,Leslie,leslie.sparks@univ.edu,9
Pena,Jonathan,jonathan.pena@univ.edu,8
Dunlap,Angela,angela.dunlap@univ.edu,11
Webb,Heather,heather.webb@univ.edu,11
Terry,Thomas,thomas.terry@univ.edu,14
Smith,Andrea,andrea.smith@univ.edu,10
Rhodes,Kimberly,kimberly.rhodes@univ.edu,13
Schwartz,Billy,billy.schwartz@univ.edu,12
Adams,Amy,amy.adams@univ.edu,11
Johnson,Stacy,stacy.johnson@univ.edu,14
Ortega,Tiffany,tiffany.ortega@univ.edu,8
Ramirez,Timothy,timothy.ramirez@univ.edu,8
Baldwin,Lucas,lucas.baldwin@univ.edu,10
Bryan,Bradley,bradley.bryan@univ.edu,12
Hernandez,Taylor,taylor.hernandez@univ.edu,12
Jones,Michele,michele.jones@univ.edu,6
Thomas,Brandon,brandon.thomas@univ.edu,10
Johnson,Paul,paul.johnson@univ.edu,14
Bates,Nathan,nathan.bates@univ.edu,12
Watson,Holly,holly.watson@univ.edu,12
Patrick,Mark,mark.patrick@univ.edu,11
Reyes,Carol,carol.reyes@univ.edu,15
Dennis,Cameron,cameron.dennis@univ.edu,6
Young,Joseph,joseph.young@univ.edu,14
Elliott,Richard,richard.elliott@univ.edu,13
Simpson,Felicia,felicia.simpson@univ.edu,7
