Last Name,First Name,Email,Grade
Petersen,Kristin,kristin.petersen@univ.edu,8
Hart,Colleen,colleen.hart@univ.edu,6
Walls,Joyce,joyce.walls@univ.edu,10
Good,Sherry,sherry.good@univ.edu,6
Guzman,Cynthia,cynthia.guzman@univ.edu,6
Pena,Jonathan,jonathan.pena@univ.edu,9
Carter,Lorraine,lorraine.carter@univ.edu,5
Flores,Russell,russell.flores@univ.edu,7
Boyd,Victoria,victoria.boyd@univ.edu,9
Moore,Kimberly,kimberly.moore@univ.edu,6
Johnson,Paul,paul.johnson@univ.edu,10
Johnson,Jamie,jamie.johnson@univ.edu,5
Reyes,Bailey,bailey.reyes@univ.edu,10
Garza,Jessica,jessica.garza@univ.edu,8
Nguyen,Cindy,cindy.nguyen@univ.edu,7
Simpson,Felicia,felicia.simpson@univ.edu,11
Dennis,Rachel,rachel.dennis@univ.edu,7
Garcia,Desiree,desiree.garcia@univ.edu,8
Rice,Rhonda,rhonda.rice@univ.edu,8
Clark,Jill,jill.clark@univ.edu,9
Harris,John,john.harris@univ.edu,9
Terry,Amy,amy.terry@univ.edu,4
Dennis,Cameron,cameron.dennis@univ.edu,4
Delgado,Desiree,desiree.delgado@univ.edu,4
Poole,Melissa,melissa.poole@univ.edu,9
Odom,John,john.odom@univ.edu,11
Mann,Nicole,nicole.mann@univ.edu,11
Reid,Laura,laura.reid@univ.edu,4
Roberts,Steven,steven.roberts@univ.edu,8
Foster,Ashlee,ashlee.foster@univ.edu,5
Flower,John,john.g.2.flower@univ.edu,8
Allen,Christina,christina.allen@univ.edu,10
Lopez,Mark,mark.lopez@univ.edu,4
Edwards,Nicole,nicole.edwards@univ.edu,10
Jones,Daniel,daniel.jones@univ.edu,8
Thomas,Brandon,brandon.thomas@univ.edu,7
Mccall,Kimberly,kimberly.mccall@univ.edu,11
Houston,Emily,emily.houston@univ.edu,8
Sampson,Stephanie,stephanie.sampson@univ.edu,10
Reilly,Brandy,brandy.reilly@univ.edu,5
Miranda,Brett,brett.miranda@univ.edu,11
Marshall,Shawn,shawn.marshall@univ.edu,8
Barrera,Woody,woody.barrera_jr@univ.edu,4
Lambert,Malaika,malaika.lambert@univ.edu,8
Edwards,Timothy,timothy.edwards@univ.edu,6
Young,Joseph,joseph.young@univ.edu,8
Sanders,Beth,beth.sanders@univ.edu,4
Jones,Michele,michele.jones@univ.edu,7
Watson,Holly,holly.watson@univ.edu,11
Benton,Michael,michael.benton@univ.edu,7
Campbell,Charles,charles.campbell@univ.edu,5
Weber,Samuel,samuel.weber@univ.edu,6
Woodard,John,john.woodard@univ.edu,11
Bauer,John,john.bauer@univ.edu,4
Rogers,Sherry,sherry.rogers@univ.edu,4
Warren,Tamara,tamara.warren@univ.edu,10
Wolf,Courtney,courtney.wolf@univ.edu,10
Flores,Brandon,brandon.flores@univ.edu,7
Evans,Patricia,patricia.evans@univ.edu,9
Davidson,Luke,luke.davidson@univ.edu,7
Perez,Jeffrey,jeffrey.perez@univ.edu,4
Dunlap,Angela,angela.dunlap@univ.edu,6
Elliott,Richard,richard.elliott@univ.edu,6
Nguyen,Donna,donna.nguyen@univ.edu,7
Ramirez,Timothy,timothy.ramirez@univ.edu,4
